PRIMARYIND,NAME,ADDRESS,TYPE,LOCATION,SUMMER_HOURS,WINTER_HOURS,WHEELCHAIR_ACCESS,NOTE,LATITUDE,LONGITUDE,MAINTAINER
1,Adanac Park,1025 Boundary Road,Public Toilet in Park,"East side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2758809678,-123.0240719603,Parks & Recreation
2,Andy Livingstone Park,89 Expo Boulevard,Public Toilet in Park,"South side, fieldhouse",10:00 am - 11:00 pm,10:00 am - 11:00 pm,No,,49.2778209665,-123.1035990223,Parks & Recreation
3,Balaclava Park,4594 Balaclava Street,Public Toilet in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2452339944,-123.1754609494,Parks & Recreation
4,Barclay Heritage Square,1433 Barclay Street,Public Toilet in Park,Barclay Manor (WECC),Hours of the centre,Hours of the centre,No,,49.2872148698,-123.1325605109,Parks & Recreation
5,Beaconsfield Park,3215 Slocan Street,Public Toilet in Park,"East side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2552329902,-123.0499339593,Parks & Recreation
6,Bobolink Park,2510 Hoylake Avenue,Public Toilet in Park,"North side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2156069867,-123.0564149550,Parks & Recreation
7,Braemar Park,895 W 27th Avenue,Public Toilet in Park,"East edge, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2474209947,-123.1244830217,Parks & Recreation
8,Brewers Park,4175 Victoria Drive,Public Toilet in Park,North east corner fieldhouse,Dawn to Dusk,Closed,No,Caretaker on site,49.2478549907,-123.0654259491,Parks & Recreation
9,Burrard View Park,650 North Penticton Street,Public Toilet in Park,Fieldhouse,Dawn to Dusk,Dawn to Dusk,No,No Caretaker,49.2903639622,-123.0496489708,Parks & Recreation
10,CRAB Park at Portside,101 E Waterfront Road,Public Toilet in Park,South side at fieldhouse,Dawn to Dusk,Dawn to Dusk,No,,49.2845920073,-123.1018350041,Parks & Recreation
11,Carnarvon Park,2995 W 19th Avenue,Public Toilet in Park,"West side, field house",Dawn to Dusk,Dawn to Dusk,No,,49.2567420169,-123.1726090104,Parks & Recreation
12,Chaldecott Park,4175 Wallace Street,Public Toilet in Park,East side fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2494269601,-123.1911249620,Parks & Recreation
13,Clinton Park,2690 Grant Street,Public Toilet in Park,"North east corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,,49.2711450329,-123.0497820279,Parks & Recreation
14,Collingwood Park,5275 McKinnon Street,Public Toilet in Park,"South corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,,49.2365299637,-123.0367159607,Parks & Recreation
15,Columbia Park,5908 Alberta Street,Public Toilet in Park,,Dawn to Dusk Weekends only,Dawn to Dusk Weekends only,No,,49.2315229979,-123.1129089740,Parks & Recreation
16,David Lam Park,1300 Pacific Boulevard,Public Toilet in Park,West side,10:00 am - Dusk,10:00 am - Dusk,No,,49.2723830073,-123.1254150352,Parks & Recreation
17,Elm Park,5800 Elm Street,Public Toilet in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,,49.2334319792,-123.1632839446,Parks & Recreation
18,English Bay Beach Park,1700 Beach Avenue,Public Toilet in Park,Bathhouse,7:00 am - Dusk,10:00 am - Dusk,No,,49.2861540400,-123.1428049671,Parks & Recreation
19,Falaise Park,3434 Falaise Avenue,Public Toilet in Park,Community Hall,Dawn to Dusk,Dawn to Dusk,No,Women's is closed Mon - Fri during school days,49.2551230347,-123.0294059867,Parks & Recreation
20,Fraser River Park,8705 Angus Drive,Public Toilet in Park,West corner,Dawn to Dusk,Closed,No,April 1 to October 31,49.2073949986,-123.1498560045,Parks & Recreation
21,Fraserview Golf Course,7800 Vivian Drive,Public Toilet in Park,Kerr Road @13th hole,Dawn to Dusk,Dawn to Dusk,No,,49.2112953518,-123.0422996676,Parks & Recreation
22,Garden Park,1851 Garden Drive,Public Toilet in Park,"North east corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2682859984,-123.0583339940,Parks & Recreation
23,Gordon Park,6675 Commercial Street,Public Toilet in Park,East side,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2238700451,-123.0694999785,Parks & Recreation
24,Grandview Park,1255 Commercial Drive,Public Toilet in Park,South side,Dawn to Dusk,Dawn to Dusk,No,,49.2737616313,-123.0699544464,Parks & Recreation
25,Granville Park,3001 Fir Street,Public Toilet in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,No Caretaker,49.2584930115,-123.1419699499,Parks & Recreation
26,Grays Park,4850 St. Catherines Street,Public Toilet in Park,Centre west by parking lot,Dawn to Dusk,Closed,No,,49.2407870046,-123.0848870327,Parks & Recreation
27,Hadden Park,1905 Ogden Avenue,Public Toilet in Park,"West, caretaker house (actually in Kits)",Dawn to Dusk,Dawn to Dusk,No,No Caretaker,49.2774609931,-123.1503099821,Parks & Recreation
28,Harbour Green Park,1199 W Cordova Street,Public Toilet in Park,Central,Dawn to Dusk,Dawn to Dusk,No,,49.2898040141,-123.1214669986,Parks & Recreation
29,Hastings Community Park,3000 E Pender Street,Public Toilet in Park,"Central, field house",Dawn to Dusk,Closed,No,No Caretaker,49.2806479708,-123.0378739491,Parks & Recreation
31,Jericho Beach Park,3941 Point Grey Road,Public Toilet in Park,Concession/fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2715800213,-123.1916589596,Parks & Recreation
